dataset,embedding,classifier,task,task_group,mode,metric,mean,ci_low,ci_high,fold_sd,draw_sd,delta_vs_per_radiograph_pp,n_radiographs,n_patients
mimic,biomedclip,random_forest,insurance,demographic,patient_balanced,roc,0.697312607539523,0.6970576846104747,0.6975675304685712,0.0003563576823180616,,2.462577212970396,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,per_radiograph,accuracy,0.6080363700833269,0.6071782932213005,0.6088944469453533,0.0011995087415014828,,0.0,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,per_radiograph,precision,0.4794193924586729,0.47658945769202254,0.4822493272253232,0.003955976021145009,,0.0,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,per_radiograph,recall,0.42842403348742897,0.42727529324523034,0.4295727737296276,0.0016058281294027675,,0.0,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,per_radiograph,f1,0.41919287714133635,0.41762317979050323,0.42076257449216947,0.0021942855904416455,,0.0,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,per_radiograph,roc,0.6856531525798167,0.6844983618015307,0.6868079433581028,0.0016142861956306882,,0.0,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,one_per_patient,accuracy,0.590297683481273,0.5885974841091587,0.5919978828533873,0.0023767148368621905,0.001593111342155761,-1.773868660205391,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,one_per_patient,precision,0.49351457199130416,0.48947782715639415,0.4975513168262142,0.0056429801699234925,0.00269223858072749,1.4095179532631286,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,one_per_patient,recall,0.46794889927862665,0.4659466818744261,0.4699511166828272,0.0027989069336435256,0.0015320765151493635,3.9524865791197685,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,one_per_patient,f1,0.45596318890851356,0.4533094780631912,0.4586168997538359,0.003709631965677277,0.0017836266187239603,3.677031176717721,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,one_per_patient,roc,0.7140389557267919,0.7123798042733538,0.71569810718023,0.0023193338032373887,0.0016614780982690122,2.838580314697514,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,patient_balanced,accuracy,0.5904561250342739,0.5887763592025232,0.5921358908660246,0.002348150717060386,,-1.7580245049052978,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,patient_balanced,precision,0.49377265895929934,0.48978260685420116,0.4977627110643975,0.005577708234444857,,1.435326650062646,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,patient_balanced,recall,0.4681173571329875,0.4661328623508873,0.47010185191508774,0.002774132416263529,,3.9693323645558554,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,patient_balanced,f1,0.4561612456023056,0.4535193429588836,0.4588031482457276,0.003693125237634982,,3.6968368460969234,39483,9238
mimic,biomedclip,xgboost,insurance,demographic,patient_balanced,roc,0.7140745497470045,0.7124290346937281,0.7157200648002808,0.002300271430249024,,2.8421397167187723,39483,9238
mimic,biomedclip,mlp,insurance,demographic,per_radiograph,accuracy,0.6176759618063471,0.6168911206453621,0.6184608029673321,0.0010971322907697356,,0.0,39483,9238
mimic,biomedclip,mlp,insurance,demographic,per_radiograph,precision,0.37474797471909504,0.3740546761846468,0.3754412732535433,0.0009691645228340818,,0.0,39483,9238
mimic,biomedclip,mlp,insurance,demographic,per_radiograph,recall,0.42741755870245024,0.42547383080499435,0.42936128659990613,0.0027171442411259654,,0.0,39483,9238
mimic,biomedclip,mlp,insurance,demographic,per_radiograph,f1,0.3934924185781941,0.3917119881589765,0.3952728489974117,0.002488870107093943,,0.0,39483,9238
mimic,biomedclip,mlp,insurance,demographic,per_radiograph,roc,0.6981837649583438,0.6976538308126747,0.6987136991040128,0.0007407968543155797,,0.0,39483,9238
mimic,biomedclip,mlp,insurance,demographic,one_per_patient,accuracy,0.6091526304394891,0.6082887187488901,0.610016542130088,0.0012076652694159682,0.0015839987487411883,-0.8523331366858011,39483,9238
mimic,biomedclip,mlp,insurance,demographic,one_per_patient,precision,0.3939761517825964,0.39334034323916933,0.3946119603260234,0.0008887990569526679,0.0012389142971788504,1.9228177063501328,39483,9238
mimic,biomedclip,mlp,insurance,demographic,one_per_patient,recall,0.4698876483595349,0.4680457165393879,0.47172958017968186,0.0025748431373597237,0.0013645683939719514,4.247008965708465,39483,9238
mimic,biomedclip,mlp,insurance,demographic,one_per_patient,f1,0.4262605299616607,0.4246699929126456,0.42785106701067577,0.0022234174797230873,0.00128837482677577,3.276811138346658,39483,9238
mimic,biomedclip,mlp,insurance,demographic,one_per_patient,roc,0.7253586244461443,0.7249517790729796,0.725765469819309,0.0005687306151083104,0.001414293422269242,2.717485948780052,39483,9238
mimic,biomedclip,mlp,insurance,demographic,patient_balanced,accuracy,0.6093163653854352,0.6084604483158829,0.6101722824549876,0.0011964895598089958,,-0.8359596420911886,39483,9238
mimic,biomedclip,mlp,insurance,demographic,patient_balanced,precision,0.39411030119158685,0.3934742333086345,0.3947463690745392,0.0008891615886108707,,1.9362326472491809,39483,9238
mimic,biomedclip,mlp,insurance,demographic,patient_balanced,recall,0.4700472955871211,0.46821840556556726,0.47187618560867495,0.0025566119600495566,,4.262973688467087,39483,9238
mimic,biomedclip,mlp,insurance,demographic,patient_balanced,f1,0.42641321204233257,0.4248364144199525,0.4279900096647126,0.0022042110856559495,,3.2920793464138454,39483,9238
mimic,biomedclip,mlp,insurance,demographic,patient_balanced,roc,0.7254893862649983,0.7250863708575048,0.7258924016724917,0.000563376692277224,,2.730562130665448,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,per_radiograph,accuracy,0.7890155256692755,0.7886926538910833,0.7893383974474676,0.00045134362370626154,,0.0,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,per_radiograph,precision,0.7622153627531388,0.761856767026637,0.7625739584796407,0.0005012822599460572,,0.0,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,per_radiograph,recall,0.7269214907027295,0.7263192310448279,0.7275237503606311,0.0008419009488270947,,0.0,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,per_radiograph,f1,0.7392380141929362,0.7386980065235986,0.7397780218622738,0.0007548786693986457,,0.0,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,per_radiograph,roc,0.8289195553860204,0.8288293437760812,0.8290097669959595,0.0001261071350314033,,0.0,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,one_per_patient,accuracy,0.7475610521757957,0.7468337610206245,0.7482883433309669,0.0010166829299934226,0.0024031125078773806,-4.145447349347975,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,one_per_patient,precision,0.7482824531868706,0.7476121846741699,0.7489527216995713,0.0009369707723372885,0.002385828794189336,-1.3932909566268248,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,one_per_patient,recall,0.7442461247630946,0.743460391655085,0.7450318578711042,0.0010983791467337372,0.0023653999989684173,1.7324634060365107,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,one_per_patient,f1,0.7450054919783853,0.7442236564269031,0.7457873275298674,0.00109293073840113,0.0023952674171644917,0.576747778544906,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,one_per_patient,roc,0.8282052951210608,0.828058808818986,0.8283517814231356,0.0002047737302157684,0.0023603808002319007,-0.07142602649595764,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,patient_balanced,accuracy,0.7479721545858942,0.7472731520617336,0.7486711571100547,0.0009771381506337383,,-4.10433710833813,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,patient_balanced,precision,0.7486474970805301,0.748004014051316,0.7492909801097443,0.0008995272483252181,,-1.3567865672608703,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,patient_balanced,recall,0.7446459034497914,0.7438891126967472,0.7454026942028357,0.0010579205242992617,,1.7724412747061935,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,patient_balanced,f1,0.7454203197693736,0.7446679857589673,0.7461726537797799,0.0010516904276850047,,0.6182305576437397,39483,9238
mimic,biomedclip,logistic_regression,disease,disease,patient_balanced,roc,0.8285987219880969,0.8284516760031252,0.8287457679730686,0.00020555611295669933,,-0.03208333979234368,39483,9238
mimic,biomedclip,random_forest,disease,disease,per_radiograph,accuracy,0.7748625990932807,0.7745189968291588,0.7752062013574026,0.00048032284478630464,,0.0,39483,9238
mimic,biomedclip,random_forest,disease,disease,per_radiograph,precision,0.7473786413578226,0.746921593203452,0.7478356895121933,0.0006389092640954319,,0.0,39483,9238
mimic,biomedclip,random_forest,disease,disease,per_radiograph,recall,0.7016058599176052,0.7009847736482149,0.7022269461869954,0.0008682187369564928,,0.0,39483,9238
mimic,biomedclip,random_forest,disease,disease,per_radiograph,f1,0.7152111847587379,0.7146222094838378,0.715800160033638,0.0008233306618972051,,0.0,39483,9238
mimic,biomedclip,random_forest,disease,disease,per_radiograph,roc,0.8146389796988183,0.8145275640642536,0.8147503953333829,0.0001557483175628375,,0.0,39483,9238
mimic,biomedclip,random_forest,disease,disease,one_per_patient,accuracy,0.7282992530850834,0.7276000428850171,0.7289984632851496,0.0009774284615316625,0.0026507962218811527,-4.656334600819734,39483,9238
mimic,biomedclip,random_forest,disease,disease,one_per_patient,precision,0.7316147270631757,0.7309602293126559,0.7322692248136954,0.0009149247669811329,0.002635493062024761,-1.5763914294646963,39483,9238
mimic,biomedclip,random_forest,disease,disease,one_per_patient,recall,0.7231376496241505,0.7223927126330314,0.7238825866152696,0.0010413501077337975,0.0025807096836147113,2.1531789706545346,39483,9238
mimic,biomedclip,random_forest,disease,disease,one_per_patient,f1,0.7236395526859677,0.7228758718250561,0.7244032335468793,0.0010675522309475474,0.0026578259096815544,0.8428367927229785,39483,9238
mimic,biomedclip,random_forest,disease,disease,one_per_patient,roc,0.8083373400562841,0.8081643089655797,0.8085103711469885,0.00024188078601884626,0.002591080225320583,-0.6301639642534163,39483,9238
mimic,biomedclip,random_forest,disease,disease,patient_balanced,accuracy,0.7285393026275758,0.7278240708920252,0.7292545343631265,0.0009998250237935721,,-4.632329646570488,39483,9238
mimic,biomedclip,random_forest,disease,disease,patient_balanced,precision,0.7317917353135435,0.7311211153892664,0.7324623552378206,0.0009374620118479173,,-1.5586906044279147,39483,9238
mimic,biomedclip,random_forest,disease,disease,patient_balanced,recall,0.7233448543773873,0.7225833174682942,0.7241063912864804,0.0010645551929648013,,2.1738994459782113,39483,9238
mimic,biomedclip,random_forest,disease,disease,patient_balanced,f1,0.723877323563219,0.7230972265151259,0.7246574206113121,0.0010905004782406995,,0.8666138804481083,39483,9238
mimic,biomedclip,random_forest,disease,disease,patient_balanced,roc,0.8087023849733466,0.8085306520538668,0.8088741178928264,0.000240066067779883,,-0.59365947254717,39483,9238
mimic,biomedclip,xgboost,disease,disease,per_radiograph,accuracy,0.77683813286731,0.775968319430337,0.777707946304283,0.0012159153419666181,,0.0,39483,9238
mimic,biomedclip,xgboost,disease,disease,per_radiograph,precision,0.7443133580726057,0.7431760470512853,0.7454506690939261,0.001589851180298719,,0.0,39483,9238
mimic,biomedclip,xgboost,disease,disease,per_radiograph,recall,0.7174138126348852,0.7163182540684239,0.7185093712013466,0.0015314852730019235,,0.0,39483,9238
mimic,biomedclip,xgboost,disease,disease,per_radiograph,f1,0.7273081798708537,0.7262081040638074,0.7284082556779,0.001537799939914437,,0.0,39483,9238
mimic,biomedclip,xgboost,disease,disease,per_radiograph,roc,0.8137942108176809,0.8132684528683719,0.8143199687669899,0.0007349589343553542,,0.0,39483,9238
mimic,biomedclip,xgboost,disease,disease,one_per_patient,accuracy,0.7344772678068846,0.7330842615102992,0.7358702741034701,0.001947288528180056,0.002187033527277265,-4.236086506042536,39483,9238
mimic,biomedclip,xgboost,disease,disease,one_per_patient,precision,0.7343371127148284,0.7329433483994646,0.7357308770301921,0.0019483481653652494,0.00215905091835221,-0.9976245357777302,39483,9238
mimic,biomedclip,xgboost,disease,disease,one_per_patient,recall,0.7316733150746438,0.7302501847434764,0.7330964454058113,0.001989399024814511,0.002143620237109078,1.4259502439758598,39483,9238
mimic,biomedclip,xgboost,disease,disease,one_per_patient,f1,0.73226913289117,0.730843514620305,0.7336947511620351,0.001992876924694619,0.00216469276491999,0.49609530203162944,39483,9238
mimic,biomedclip,xgboost,disease,disease,one_per_patient,roc,0.8107843235092412,0.8102799547401981,0.8112886922782844,0.0007050589220862982,0.002372772168398204,-0.30098873084396516,39483,9238
mimic,biomedclip,xgboost,disease,disease,patient_balanced,accuracy,0.7348015182021659,0.7333989501124146,0.7362040862919171,0.0019606549933468644,,-4.203661466514408,39483,9238
mimic,biomedclip,xgboost,disease,disease,patient_balanced,precision,0.7346290809704403,0.7332233500980758,0.7360348118428048,0.001965076258573801,,-0.9684277102165351,39483,9238
mimic,biomedclip,xgboost,disease,disease,patient_balanced,recall,0.7319801485374018,0.7305493821580348,0.7334109149167688,0.0020000734841446,,1.4566335902516547,39483,9238
mimic,biomedclip,xgboost,disease,disease,patient_balanced,f1,0.7325883843171004,0.7311550322460002,0.7340217363882006,0.002003688031948046,,0.5280204446246661,39483,9238
